Allegheny General Hospital
Allegheny Valley Hospital
Children's Home of Pittsburgh
Children's Institute of Pittsburgh
Encompass Health Rehabilitation Hospital of Harmarville
Encompass Health Rehabilitation Hospital of Sewickley
FORBES HOSPITAL
Heritage Valley Kennedy
Heritage Valley Sewickley
Jefferson Hospital
Kindred Hospital Pittsburgh
Lifecare Behavioral Health Hospital
Lifecare Hospital of Pittsburgh
MONONGAHELA VALLEY
New Lifecare Hospitals of PGH - Alle-Kiski
New Lifecare Hospitals of PGH - Suburban
OHIO VALLEY GENERAL
Select Specialty Hospital - McKeesport
Select Specialty Hospital - Pittsburgh UPMC
St. Clair Hospital
UPMC Children's Hospital of Pittsburgh
UPMC East
UPMC Magee-Womens Hospital
UPMC McKeesport
UPMC Mercy
UPMC Passavant
UPMC Presbyterian
UPMC Shadyside
UPMC St. Margaret
UPMC Western Psychiatric Hospital
Veterans Affairs Pittsburgh Healthcare System
West Penn Hospital
