552,0.076,3324.718543,3325
190,0.026,1144.377759,1144
30,0.004,180.6912252,181
62,0.009,373.428532,373
162,0.022,975.7326159,976
44,0.006,265.0137969,265
124,0.017,746.857064,747
176,0.024,1060.055188,1060
341,0.047,2053.856926,2054
63,0.009,379.4515728,379
49,0.007,295.1290011,295
80,0.011,481.8432671,482
35,0.005,210.8064294,211
32,0.004,192.7373068,193
30,0.004,180.6912252,181
32,0.004,192.7373068,193
328,0.045,1975.557395,1976
315,0.043,1897.257864,1897
155,0.021,933.57133,933
383,0.053,2306.824641,2307
222,0.031,1337.115066,1337
495,0.068,2981.405215,2981
423,0.058,2547.746275,2548
1577,0.218,9498.335403,9498
520,0.072,3131.981236,3132
248,0.034,1493.714128,1494
263,0.036,1584.059741,1584
0,0.000,0,0
317,0.044,1909.303946,1909
7248,,43655,43655
,43655,,
